"date per day","Count of records"
"2017-12-13",99
"2017-12-14",32
"2017-12-15",38
"2017-12-16",4
"2017-12-17",5
"2017-12-18",30
"2017-12-19",19
"2017-12-20",143
"2017-12-21",32
"2017-12-22",42
"2017-12-23",23
"2017-12-24",13
"2017-12-25",44
"2017-12-26",15
"2017-12-27",13
"2017-12-28",27
